code,name,year_founded
600730,中国高科,1992
000045,深纺织A,1994
601003,柳钢股份,2000
002381,双箭股份,2001
300229,拓尔思,1993
002456,欧菲科技,2001
000735,罗牛山,1993
002415,海康威视,2001
002574,明牌珠宝,2002
000832,*ST龙涤,1993
600203,福日电子,1999
600315,上海家化,1995
002056,横店东磁,1999
000571,新大洲A,1992
002493,荣盛石化,1995
300304,云意电气,2007
300351,永贵电器,1990
002114,罗平锌电,2000
601216,君正集团,2003
900916,凤凰B股,1993
300116,坚瑞沃能,2005
002533,金杯电工,2004
300371,汇中股份,1998
600075,新疆天业,1997
002472,双环传动,2005
000736,中交地产,1993
600095,哈高科,1994
000727,华东科技,1993
300368,汇金股份,2005
300268,佳沃股份,2003
600313,农发种业,1999
002703,浙江世宝,1993
600875,东方电气,1993
600285,羚锐制药,1999
601678,滨化股份,2007
000926,福星股份,1993
600423,*ST柳化,2001
000811,冰轮环境,1988
600367,红星发展,1999
002188,*ST巴士,2000
200581,苏威孚B,1988
000852,石化机械,1998
000658,ST海洋,1993
002025,航天电器,2001
002454,松芝股份,2002
002159,三特索道,1989
002620,瑞和股份,1992
600268,国电南自,1999
600724,宁波富达,1993
600078,澄星股份,1994
600662,强生控股,1992
002053,云南能投,2002
300132,青松股份,2001
600599,熊猫金控,1999
600176,中国巨石,1999
600985,雷鸣科化,1999
600530,交大昂立,1997
300430,诚益通,2003
002719,麦趣尔,2002
000502,绿景控股,1991
002482,广田集团,1995
600436,片仔癀,1999
600262,北方股份,1999
002518,科士达,1993
600701,*ST工新,1993
601918,新集能源,1997
300195,长荣股份,1995
601198,东兴证券,2008
600117,西宁特钢,1997
002167,东方锆业,1995
002714,牧原股份,2000
000529,广弘控股,1992
300723,一品红,2002
002433,太安堂,2000
600159,大龙地产,1998
600839,四川长虹,1993
600515,海航基础,1993
002922,伊戈尔,1999
600537,亿晶光电,2000
300359,全通教育,2005
002147,新光圆成,2003
002601,龙蟒佰利,2002
600084,中葡股份,1997
601179,中国西电,2008
000159,国际实业,1999
600284,浦东建设,1998
600503,华丽家族,1996
000031,中粮地产,1983
002549,凯美特气,1991
