code,name,year_listed
600730,中国高科,1996
000045,深纺织A,1994
601003,柳钢股份,2007
002381,双箭股份,2010
300229,拓尔思,2011
002456,欧菲科技,2010
000735,罗牛山,1997
002415,海康威视,2010
002574,明牌珠宝,2011
000832,*ST龙涤,1998
600203,福日电子,1999
600315,上海家化,2001
002056,横店东磁,2006
000571,新大洲A,1994
002493,荣盛石化,2010
300304,云意电气,2012
300351,永贵电器,2012
002114,罗平锌电,2007
601216,君正集团,2011
900916,凤凰B股,1993
300116,坚瑞沃能,2010
002533,金杯电工,2010
300371,汇中股份,2014
600075,新疆天业,1997
002472,双环传动,2010
000736,中交地产,1997
600095,哈高科,1997
000727,华东科技,1997
300368,汇金股份,2014
300268,佳沃股份,2011
600313,农发种业,2001
002703,浙江世宝,2012
600875,东方电气,1995
600285,羚锐制药,2000
601678,滨化股份,2010
000926,福星股份,1999
600423,*ST柳化,2003
000811,冰轮环境,1998
600367,红星发展,2001
002188,*ST巴士,2007
200581,苏威孚B,1995
000852,石化机械,1998
000658,ST海洋,1996
002025,航天电器,2004
002454,松芝股份,2010
002159,三特索道,2007
002620,瑞和股份,2011
600268,国电南自,1999
600724,宁波富达,1996
600078,澄星股份,1997
600662,强生控股,1993
002053,云南能投,2006
300132,青松股份,2010
600599,熊猫金控,2001
600176,中国巨石,1999
600985,雷鸣科化,2004
600530,交大昂立,2001
300430,诚益通,2015
002719,麦趣尔,2014
000502,绿景控股,1992
002482,广田集团,2010
600436,片仔癀,2003
600262,北方股份,2000
002518,科士达,2010
600701,*ST工新,1996
601918,新集能源,2007
300195,长荣股份,2011
601198,东兴证券,2015
600117,西宁特钢,1997
002167,东方锆业,2007
002714,牧原股份,2014
000529,广弘控股,1993
300723,一品红,2017
002433,太安堂,2010
600159,大龙地产,1998
600839,四川长虹,1994
600515,海航基础,2002
002922,伊戈尔,2017
600537,亿晶光电,2003
300359,全通教育,2014
002147,新光圆成,2007
002601,龙蟒佰利,2011
600084,中葡股份,1997
